circBase ID,circBank ID,riboCIRC ID,riboCIRC ORF ID,ORF Length,Host_Gene,Refseq,Hg19,Hg38,Strand,GPL19978_GPL21825,GPL19978_GPL21825_Probe,Spliced Seq Length,Annotation
hsa_circ_0104596,hsa_circSCAPER_012,N/A,N/A,N/A,SCAPER,ENST00000538941.2,chr15:77046148-77067458,chr15:76753807-76775117,-,N/A,N/A,1094,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104619,hsa_circHMG20A_005,N/A,N/A,N/A,HMG20A,ENST00000381714.3,chr15:77759389-77764156,chr15:77467047-77471814,+,N/A,N/A,425,"ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON"
hsa_circ_0036429,hsa_circHMG20A_006,N/A,N/A,N/A,HMG20A,NM_018200,chr15:77759436-77764156,chr15:77467094-77471814,+,hsa_circRNA_101614,ASCRP3004721,378,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104620,hsa_circHMG20A_007,N/A,N/A,N/A,HMG20A,ENST00000381714.3,chr15:77759436-77771663,chr15:77467094-77479321,+,N/A,N/A,813,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0104645,hsa_circAGPHD1_001,N/A,N/A,N/A,AGPHD1,ENST00000566332.1,chr15:78805425-78807449,chr15:78513083-78515107,+,N/A,N/A,482,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0104647,hsa_circPSMA4_003,N/A,N/A,N/A,PSMA4,ENST00000044462.7,chr15:78837210-78839040,chr15:78544868-78546698,+,N/A,N/A,344,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104656,hsa_circKIAA1024_001,N/A,N/A,N/A,KIAA1024,NM_015206,chr15:79748439-79750787,chr15:79456097-79458445,+,N/A,N/A,2348,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0104657,hsa_circKIAA1024_003,N/A,N/A,N/A,KIAA1024,NM_015206,chr15:79748439-79761487,chr15:79456097-79469145,+,N/A,N/A,3562,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3, UTR5"
hsa_circ_0000642,hsa_circZFAND6_007,N/A,N/A,N/A,ZFAND6,NM_001242916,chr15:80390757-80415142,chr15:80098415-80122800,+,hsa_circRNA_101617,ASCRP3010754,544,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0000643,hsa_circZFAND6_008,hsa_circZFAND6_001,hsa_circZFAND6_001_141,142,ZFAND6,NM_001242916,chr15:80412669-80415142,chr15:80120327-80122800,+,hsa_circRNA_101618,ASCRP3010755,381,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0000643,hsa_circZFAND6_008,hsa_circZFAND6_001,hsa_circZFAND6_001_INF,200,ZFAND6,NM_001242916,chr15:80412669-80415142,chr15:80120327-80122800,+,hsa_circRNA_101618,ASCRP3010755,381,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0007978,hsa_circARNT2_006,N/A,N/A,N/A,ARNT2,NM_014862,chr15:80750269-80767564,chr15:80457928-80475223,+,hsa_circRNA_101620,ASCRP3011198,476,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0036517,hsa_circARNT2_007,N/A,N/A,N/A,ARNT2,NM_014862,chr15:80750269-80806746,chr15:80457928-80514405,+,N/A,N/A,731,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0104677,hsa_circ_chr15_00035,N/A,N/A,N/A,None,None,chr15:81372225-81374732,chr15:81079884-81082391,+,N/A,N/A,2507,INTERGENIC
hsa_circ_0036542,hsa_circIL16_002,N/A,N/A,N/A,IL16,NM_001172128,chr15:81517639-81518052,chr15:81225298-81225711,+,N/A,N/A,413,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0036580,hsa_circAP3B2_001,N/A,N/A,N/A,AP3B2,NM_004644,chr15:83357487-83358205,chr15:82688735-82689453,-,hsa_circRNA_101624,ASCRP3010236,247,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0104714,hsa_circHDGFRP3_008,N/A,N/A,N/A,HDGFRP3,ENST00000299633.4,chr15:83819966-83826793,chr15:83151214-83158041,-,N/A,N/A,445,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000646,hsa_circHDGFRP3_005,N/A,N/A,N/A,HDGFRP3,NM_016073,chr15:83819966-83832827,chr15:83151214-83164075,-,hsa_circRNA_000646,ASCRP3003569,522,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104722,hsa_circSH3GL3_005,N/A,N/A,N/A,SH3GL3,ENST00000324537.5,chr15:84159503-84257523,chr15:83490751-83588771,+,N/A,N/A,944,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0104726,hsa_circSH3GL3_009,N/A,N/A,N/A,SH3GL3,ENST00000324537.5,chr15:84228004-84245493,chr15:83559252-83576741,+,N/A,N/A,579,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104727,hsa_circSH3GL3_010,N/A,N/A,N/A,SH3GL3,ENST00000324537.5,chr15:84228004-84257523,chr15:83559252-83588771,+,N/A,N/A,793,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104728,hsa_circSH3GL3_011,N/A,N/A,N/A,SH3GL3,ENST00000535412.1,chr15:84228004-84278218,chr15:83559252-83609466,+,N/A,N/A,990,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0104730,hsa_circSH3GL3_013,N/A,N/A,N/A,SH3GL3,ENST00000535412.1,chr15:84228004-84324582,chr15:83559252-83655830,+,N/A,N/A,38739,"ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVERLAPTX, OVEXON, UTR3"
hsa_circ_0104739,hsa_circSH3GL3_022,N/A,N/A,N/A,SH3GL3,ENST00000535412.1,chr15:84257413-84278218,chr15:83588661-83609466,+,N/A,N/A,307,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0104778,hsa_circUBE2Q2P1_002,N/A,N/A,N/A,UBE2Q2P1,NR_003661,chr15:85081762-85098301,chr15:84538531-84555070,-,N/A,N/A,387,"ANNOTATED, INTERNAL, ncRNA, OVERLAPTX, OVEXON"
hsa_circ_0005053,hsa_circPDE8A_006,N/A,N/A,N/A,PDE8A,NM_002605,chr15:85607600-85626875,chr15:85064369-85083644,+,hsa_circRNA_101627,ASCRP3006432,449,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003856,hsa_circPDE8A_031,N/A,N/A,N/A,PDE8A,NM_002605,chr15:85657103-85658718,chr15:85113872-85115487,+,hsa_circRNA_101631,ASCRP3011243,214,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005889,hsa_circPDE8A_033,N/A,N/A,N/A,PDE8A,NM_002605,chr15:85657103-85661070,chr15:85113872-85117839,+,hsa_circRNA_101632,ASCRP3006563,549,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0036629,hsa_circPDE8A_034,N/A,N/A,N/A,PDE8A,NM_002605,chr15:85657103-85664245,chr15:85113872-85121014,+,hsa_circRNA_101633,ASCRP3000048,767,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104827,hsa_circNTRK3_006,N/A,N/A,N/A,NTRK3,ENST00000394480.1,chr15:88669501-88690634,chr15:88126270-88147403,-,N/A,N/A,1001,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0007099,hsa_circABHD2_007,hsa_circABHD2_001,hsa_circABHD2_001_66,67,ABHD2,NM_007011,chr15:89656955-89659752,chr15:89113724-89116521,+,hsa_circRNA_101637,ASCRP3011187,300,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0036683,hsa_circABHD2_008,N/A,N/A,N/A,ABHD2,NM_007011,chr15:89656955-89698765,chr15:89113724-89155534,+,hsa_circRNA_101638,ASCRP3012929,644,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5"
hsa_circ_0104850,hsa_circTCONS_00023192_002,N/A,N/A,N/A,TCONS_00023192,TCONS_00023192,chr15:89930661-89932713,chr15:89387430-89389482,+,N/A,N/A,392,"ANNOTATED, INTERNAL, ncRNA, OVEXON"
hsa_circ_0104851,hsa_circTCONS_00023192_003,N/A,N/A,N/A,TCONS_00023192,TCONS_00023192,chr15:89931047-89932713,chr15:89387816-89389482,+,N/A,N/A,284,"ANNOTATED, INTERNAL, ncRNA, OVEXON"
hsa_circ_0000650,hsa_circSEMA4B_007,N/A,N/A,N/A,SEMA4B,NM_020210,chr15:90760670-90764997,chr15:90217438-90221765,+,hsa_circRNA_101646,ASCRP3004664,704,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000651,hsa_circIQGAP1_015,N/A,N/A,N/A,IQGAP1,NM_003870,chr15:90982563-90986710,chr15:90439331-90443478,+,hsa_circRNA_101648,ASCRP3000247,446,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104887,hsa_circSV2B_001,N/A,N/A,N/A,SV2B,NM_014848,chr15:91769102-91769944,chr15:91225872-91226714,+,N/A,N/A,842,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0104891,hsa_circSV2B_005,N/A,N/A,N/A,SV2B,NM_014848,chr15:91795048-91811835,chr15:91251818-91268605,+,N/A,N/A,922,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104892,hsa_circSV2B_006,N/A,N/A,N/A,SV2B,NM_014848,chr15:91795048-91827451,chr15:91251818-91284221,+,N/A,N/A,1257,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104894,hsa_circSV2B_008,N/A,N/A,N/A,SV2B,NM_014848,chr15:91795048-91836401,chr15:91251818-91293171,+,N/A,N/A,2220,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0104897,hsa_circSV2B_011,N/A,N/A,N/A,SV2B,NM_014848,chr15:91824957-91836401,chr15:91281727-91293171,+,N/A,N/A,1298,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0007262,hsa_circCHD2_005,N/A,N/A,N/A,CHD2,NM_001271,chr15:93467550-93472321,chr15:92924320-92929091,+,hsa_circRNA_007262,ASCRP3004918,381,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104919,hsa_circCHD2_022,hsa_circCHD2_001,hsa_circCHD2_001_INF,1038,CHD2,ENST00000394196.4,chr15:93480747-93499879,chr15:92937517-92956649,+,N/A,N/A,1557,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104923,hsa_circCHD2_034,N/A,N/A,N/A,CHD2,ENST00000394196.4,chr15:93489050-93510743,chr15:92945820-92967513,+,N/A,N/A,1036,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0104927,hsa_circCHD2_043,N/A,N/A,N/A,CHD2,ENST00000394196.4,chr15:93496586-93518180,chr15:92953356-92974950,+,N/A,N/A,1075,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0000655,hsa_circCHD2_062,N/A,N/A,N/A,CHD2,NM_001271,chr15:93540186-93541851,chr15:92996956-92998621,+,N/A,N/A,413,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0036997,hsa_circCHD2_063,N/A,N/A,N/A,CHD2,NM_001271,chr15:93540186-93545547,chr15:92996956-93002317,+,N/A,N/A,683,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0037002,hsa_circCHD2_068,N/A,N/A,N/A,CHD2,NM_001271,chr15:93543741-93558139,chr15:93000511-93014909,+,hsa_circRNA_101653,ASCRP3006963,898,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003783,hsa_circCHD2_070,N/A,N/A,N/A,CHD2,NM_001271,chr15:93547846-93558139,chr15:93004616-93014909,+,N/A,N/A,628,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104933,hsa_circCHD2_074,N/A,N/A,N/A,CHD2,ENST00000394196.4,chr15:93552374-93563488,chr15:93009144-93020258,+,N/A,N/A,740,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005035,hsa_circIGF1R_001,N/A,N/A,N/A,IGF1R,NM_000875,chr15:99250790-99251336,chr15:98707561-98708107,+,hsa_circRNA_101657,ASCRP3003511,546,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0037052,hsa_circLRRC28_010,N/A,N/A,N/A,LRRC28,NM_144598,chr15:99892573-99903470,chr15:99352368-99363265,+,N/A,N/A,439,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003062,hsa_circMEF2A_009,N/A,N/A,N/A,MEF2A,NM_001171894,chr15:100211527-100215663,chr15:99671322-99675458,+,hsa_circRNA_101658,ASCRP3003488,412,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0103076,hsa_circADAMTS17_004,N/A,N/A,N/A,ADAMTS17,NM_139057,chr15:100871093-100874385,chr15:100330888-100334180,-,N/A,N/A,3292,"ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON"
hsa_circ_0003007,hsa_circ_chr15_00049,N/A,N/A,N/A,None,None,chr15:101104896-101105470,chr15:100564691-100565265,-,N/A,N/A,574,INTERGENIC
hsa_circ_0005019,hsa_circCHSY1_001,N/A,N/A,N/A,CHSY1,NM_014918,chr15:101775286-101775782,chr15:101235081-101235577,-,hsa_circRNA_005019,ASCRP3004481,496,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0037100,hsa_circPCSK6_008,N/A,N/A,N/A,PCSK6,NM_002570,chr15:101929668-101970268,chr15:101389463-101430063,-,hsa_circRNA_101663,ASCRP3005942,653,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0037108,hsa_circTARSL2_007,N/A,N/A,N/A,TARSL2,NM_152334,chr15:102241288-102255166,chr15:101701085-101714963,-,N/A,N/A,754,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0103107,hsa_circTARSL2_006,N/A,N/A,N/A,TARSL2,ENST00000335968.3,chr15:102244061-102255166,chr15:101703858-101714963,-,N/A,N/A,508,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005838,hsa_circAXIN1_002,N/A,N/A,N/A,AXIN1,NM_003502,chr16:396147-397106,chr16:346147-347106,-,hsa_circRNA_101671,ASCRP3009135,959,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0037192,hsa_circRAB11FIP3_014,N/A,N/A,N/A,RAB11FIP3,NM_014700,chr16:553003-560800,chr16:503003-510800,+,hsa_circRNA_037192,ASCRP3000612,339,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0106178,hsa_circLMF1_015,N/A,N/A,N/A,LMF1,NR_033646,chr16:929569-931505,chr16:879569-881505,-,N/A,N/A,1936,"ALT_ACCEPTOR, INTERNAL, intronic, ncRNA, OVCODE, OVEXON"
hsa_circ_0000665,hsa_circUBE2I_004,N/A,N/A,N/A,UBE2I,NM_194259,chr16:1364020-1370518,chr16:1314019-1320517,+,hsa_circRNA_101675,ASCRP3003476,424,"ANNOTATED, CDS, coding, INTERNAL, UTR5"
hsa_circ_0005606,hsa_circCRAMP1L_003,N/A,N/A,N/A,CRAMP1L,NM_020825,chr16:1675973-1682366,chr16:1625972-1632365,+,hsa_circRNA_005606,ASCRP3001014,348,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003592,hsa_circCRAMP1L_005,N/A,N/A,N/A,CRAMP1L,NM_020825,chr16:1675973-1691188,chr16:1625972-1641187,+,hsa_circRNA_101676,ASCRP3011010,481,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0105101,hsa_circHAGH_010,N/A,N/A,N/A,HAGH,ENST00000566709.1,chr16:1859238-1859834,chr16:1809237-1809833,-,N/A,N/A,289,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0105245,hsa_circABCA3_007,N/A,N/A,N/A,ABCA3,NM_001089,chr16:2367283-2369841,chr16:2317282-2319840,-,N/A,N/A,498,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003564,hsa_circCLUAP1_002,N/A,N/A,N/A,CLUAP1,NM_015041,chr16:3554719-3558468,chr16:3504719-3508468,+,N/A,N/A,377,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005410,hsa_circCLUAP1_015,N/A,N/A,N/A,CLUAP1,NM_024793,chr16:3586121-3586994,chr16:3536121-3536994,+,N/A,N/A,873,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0105396,hsa_circCREBBP_045,N/A,N/A,N/A,CREBBP,ENST00000262367.5,chr16:3786036-3795355,chr16:3736035-3745354,-,N/A,N/A,892,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0037655,hsa_circCREBBP_041,N/A,N/A,N/A,CREBBP,NM_004380,chr16:3790399-3801807,chr16:3740398-3751806,-,N/A,N/A,435,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0007637,hsa_circCREBBP_007,hsa_circCREBBP_001,hsa_circCREBBP_001_170,171,CREBBP,NM_004380,chr16:3900297-3901010,chr16:3850296-3851009,-,hsa_circRNA_101691,ASCRP3002255,713,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0002439,hsa_circTFAP4_002,N/A,N/A,N/A,TFAP4,NM_003223,chr16:4311779-4312702,chr16:4261778-4262701,-,hsa_circRNA_002439,ASCRP3007797,436,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005692,hsa_circGLIS2_002,N/A,N/A,N/A,GLIS2,NM_032575,chr16:4382215-4383520,chr16:4332214-4333519,+,hsa_circRNA_101692,ASCRP3003577,411,"ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5"
hsa_circ_0105721,hsa_circRBFOX1_010,N/A,N/A,N/A,RBFOX1,NM_018723,chr16:6508050-6508687,chr16:6458049-6458686,+,N/A,N/A,637,"ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic"
hsa_circ_0105987,hsa_circRBFOX1_025,N/A,N/A,N/A,RBFOX1,NM_018723,chr16:7629778-7657340,chr16:7579776-7607338,+,N/A,N/A,406,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0105989,hsa_circRBFOX1_027,N/A,N/A,N/A,RBFOX1,NM_018723,chr16:7629778-7703949,chr16:7579776-7653947,+,N/A,N/A,620,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0005152,hsa_circUSP7_005,N/A,N/A,N/A,USP7,NM_003470,chr16:9009110-9011013,chr16:8915253-8917156,-,hsa_circRNA_005152,ASCRP3002112,358,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0004179,hsa_circCLEC16A_006,N/A,N/A,N/A,CLEC16A,NM_015226,chr16:11063017-11076848,chr16:10969160-10982991,+,N/A,N/A,728,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000672,hsa_circCLEC16A_028,hsa_circCLEC16A_001,hsa_circCLEC16A_001_INF,542,CLEC16A,NM_015226,chr16:11114049-11154879,chr16:11020192-11061022,+,hsa_circRNA_101701,ASCRP3005438,813,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0002988,hsa_circCLEC16A_041,hsa_circCLEC16A_003,hsa_circCLEC16A_003_INF,350,CLEC16A,NM_015226,chr16:11214471-11220003,chr16:11120614-11126146,+,hsa_circRNA_002988,ASCRP3005704,525,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0104992,hsa_circTCONS_l2_00009997_001,N/A,N/A,N/A,TCONS_l2_00009997,TCONS_l2_00009997,chr16:11473678-11475028,chr16:11379821-11381171,+,N/A,N/A,1350,"ANTISENSE, INTERNAL, intronic, ncRNA"
hsa_circ_0006979,hsa_circRSL1D1_004,N/A,N/A,N/A,RSL1D1,NM_015659,chr16:11940357-11941663,chr16:11846500-11847806,-,hsa_circRNA_101708,ASCRP3000736,390,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0037935,hsa_circERCC4_002,N/A,N/A,N/A,ERCC4,NM_005236,chr16:14028048-14029600,chr16:13934191-13935743,+,N/A,N/A,709,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0037936,hsa_circMKL2_001,N/A,N/A,N/A,MKL2,NM_014048,chr16:14173146-14234617,chr16:14079289-14140760,+,hsa_circRNA_037936,ASCRP3013199,282,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0037967,hsa_circPARN_014,N/A,N/A,N/A,PARN,NM_002582,chr16:14680174-14711507,chr16:14586317-14617650,-,N/A,N/A,635,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0037969,hsa_circPARN_008,N/A,N/A,N/A,PARN,NM_002582,chr16:14680174-14721193,chr16:14586317-14627336,-,hsa_circRNA_101711,ASCRP3012747,785,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005627,hsa_circPARN_020,N/A,N/A,N/A,PARN,NM_002582,chr16:14687157-14698083,chr16:14593300-14604226,-,hsa_circRNA_101712,ASCRP3002785,216,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0105048,hsa_circPARN_013,N/A,N/A,N/A,PARN,NM_002582,chr16:14693760-14711507,chr16:14599903-14617650,-,N/A,N/A,513,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0038241,hsa_circSMG1_088,N/A,N/A,N/A,SMG1,NM_015092,chr16:18826496-18830976,chr16:18815174-18819654,-,N/A,N/A,880,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0038257,hsa_circSMG1_068,N/A,N/A,N/A,SMG1,NM_015092,chr16:18846213-18850011,chr16:18834891-18838689,-,N/A,N/A,1385,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0008216,hsa_circSMG1_063,N/A,N/A,N/A,SMG1,NM_015092,chr16:18851019-18853776,chr16:18839697-18842454,-,hsa_circRNA_101736,ASCRP3005441,726,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006434,hsa_circSMG1_057,N/A,N/A,N/A,SMG1,NM_015092,chr16:18852886-18856973,chr16:18841564-18845651,-,hsa_circRNA_101737,ASCRP3013323,700,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0038273,hsa_circSMG1_048,N/A,N/A,N/A,SMG1,NM_015092,chr16:18852886-18861789,chr16:18841564-18850467,-,N/A,N/A,1644,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0008616,hsa_circC16orf62_018,N/A,N/A,N/A,C16orf62,NM_020314,chr16:19619499-19628130,chr16:19608177-19616808,+,hsa_circRNA_101740,ASCRP3008590,440,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005835,hsa_circC16orf62_024,N/A,N/A,N/A,C16orf62,NM_020314,chr16:19627435-19628130,chr16:19616113-19616808,+,hsa_circRNA_101741,ASCRP3004740,201,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006797,hsa_circC16orf62_033,N/A,N/A,N/A,C16orf62,NM_020314,chr16:19627435-19659204,chr16:19616113-19647882,+,hsa_circRNA_101743,ASCRP3004501,1005,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005699,hsa_circC16orf62_035,N/A,N/A,N/A,C16orf62,NM_020314,chr16:19627435-19663412,chr16:19616113-19652090,+,hsa_circRNA_101744,ASCRP3006333,1198,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003645,hsa_circC16orf62_068,N/A,N/A,N/A,C16orf62,NM_020314,chr16:19656207-19663412,chr16:19644885-19652090,+,hsa_circRNA_101748,ASCRP3012147,356,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0038364,hsa_circC16orf62_070,N/A,N/A,N/A,C16orf62,NM_020314,chr16:19656207-19693712,chr16:19644885-19682390,+,N/A,N/A,662,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0038375,hsa_circIQCK_002,N/A,N/A,N/A,IQCK,NM_153208,chr16:19741751-19746772,chr16:19730429-19735450,+,N/A,N/A,293,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005690,hsa_circUQCRC2_018,N/A,N/A,N/A,UQCRC2,NM_003366,chr16:21973780-21987564,chr16:21962459-21976243,+,N/A,N/A,792,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006485,hsa_circUQCRC2_028,N/A,N/A,N/A,UQCRC2,NM_003366,chr16:21979948-21987564,chr16:21968627-21976243,+,hsa_circRNA_101755,ASCRP3003845,512,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0038487,hsa_circEEF2K_002,N/A,N/A,N/A,EEF2K,NM_013302,chr16:22236974-22237296,chr16:22225653-22225975,+,hsa_circRNA_101756,ASCRP3003433,322,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0003704,hsa_circUSP31_017,N/A,N/A,N/A,USP31,NM_020718,chr16:23091266-23093878,chr16:23079945-23082557,-,hsa_circRNA_003704,ASCRP3006835,346,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0008498,hsa_circUSP31_005,N/A,N/A,N/A,USP31,NM_020718,chr16:23113639-23119504,chr16:23102318-23108183,-,hsa_circRNA_008498,ASCRP3002219,601,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0105243,hsa_circPALB2_003,N/A,N/A,N/A,PALB2,NM_024675,chr16:23632682-23649450,chr16:23621361-23638129,-,N/A,N/A,3065,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
